Player Name	Position Name	Max. Goals in Max S% Year	Max. S%
Eric Chouinard	Center	1	9.1
Rob Zamuner	Center	1	9.1
Nathan Dempsey	Left Wing	1	9.1
Barret Jackman	Defender	1	9.1
Barry Tallackson	Right Wing	1	9.1
Brendan Leipsic	Left Wing	1	9.1
Chris Bourque	Left Wing	1	9.1
Chris Marinucci	Center	1	9.1
Chris Pronger*	Defender	1	9.1
Christian Proulx	Defender	1	9.1
Clayton Beddoes	Center	1	9.1
Darren Archibald	Right Wing	1	9.1
Darren Van Impe	Defender	1	9.1
Dave Hanson	Defender	1	9.1
Dave Lewis	Defender	1	9.1
Derek Joslin	Defender	1	9.1
Dwayne Hay	Right Wing	1	9.1
Eric Beaudoin	Left Wing	1	9.1
Eric Charron	Defender	1	9.1
Frédéric St. Denis	Defender	1	9.1
Geoff Smith	Defender	1	9.1
Hugh Harvey	Center	1	9.1
Jim Paek	Defender	1	9.1
Jim Storm	Left Wing	1	9.1
Kari Eloranta	Defender	1	9.1
Kasperi Kapanen	Right Wing	1	9.1
Keith Osborne	Right Wing	1	9.1
Marc-Andre Gragnani	Left Wing	1	9.1
Martin Simard	Right Wing	1	9.1
Matt Lashoff	Defender	1	9.1
Mike Commodore	Defender	1	9.1
Mikhail Yakubov	Center	1	9.1
Nikita Tryamkin	Defender	1	9.1
Pat Neaton	Defender	1	9.1
Paul Comrie	Center	1	9.1
Paul Szczechura	Center	1	9.1
Rich Pilon	Defender	1	9.1
Richard Zemlak	Right Wing	1	9.1
Ron Hainsey	Defender	1	9.1
Scott Metcalfe	Left Wing	1	9.1
Steve Clippingdale	Left Wing	1	9.1
T.J. Brennan	Defender	1	9.1
Terry Johnson	Defender	1	9.1
Ville Siren	Defender	1	9.1
Vlastimil Kroupa	Defender	1	9.1
Dave Silk	Center	1	10
Dave Capuano	Left Wing	1	10
Joey Tetarenko	Right Wing	1	10
Jay Beagle	Center	1	10
Adam McQuaid	Defender	1	10
Alexander Edler	Defender	1	10
Andrei Skopintsev	Defender	1	10
Blake Pietila	Left Wing	1	10
Brent Severyn	Defender	1	10
Brett Lindros	Right Wing	1	10
Brian McReynolds	Center	1	10
Chris Mueller	Center	1	10
David Warsofsky	Defender	1	10
Doug Barrie	Defender	1	10
Frank Bathe	Defender	1	10
Geordie Robertson	Right Wing	1	10
Glen Seabrooke	Center	1	10
Gord Smith	Defender	1	10
Greg Parks	Center	1	10
Greg Rallo	Center	1	10
Janis Sprukts	Center	1	10
Janne Niskala	Defender	1	10
Jiri Bicek	Left Wing	1	10
Joe Day	Left Wing	1	10
Jujhar Khaira	Left Wing	1	10
Jukka Porvari	Right Wing	1	10
Kenndal McArdle	Left Wing	1	10
Kim Johnsson	Defender	1	10
Kurtis Foster	Defender	1	10
Mario Marois	Defender	1	10
Mark Visheau	Defender	1	10
Michael Chaput	Center	1	10
Paul Brousseau	Right Wing	1	10
Peter Andersson	Defender	1	10
Peter Loob	Defender	1	10
Ray Fortin	Defender	1	10
Rick McCann	Center	1	10
Rob Flockhart	Right Wing	1	10
Rob Flockhart	Center	1	10
Roger Johansson	Defender	1	10
Ron Smith	Defender	1	10
Ryan Bayda	Left Wing	1	10
Sean O'Donnell	Defender	1	10
Stefan Ruzicka	Right Wing	1	10
Steve Montador	Defender	1	10
Ted Crowley	Defender	1	10
Tim Erixon	Defender	1	10
Trevor Lewis	Center	1	10
Zach Redmond	Defender	1	10
Francois Lacombe	Defender	2	1.9
John Schella	Defender	2	1.9
Ray McKay	Defender	2	2
Antti Pihlstrom	Left Wing	2	2.3
Matt Donovan	Defender	2	2.3
Fred Hucul	Defender	2	2.4
Al MacNeil	Defender	2	2.6
Jarno Kultanen	Defender	2	2.6
Jim Watson	Defender	2	2.6
Josh Green	Center	2	2.7
Joe McDonnell	Defender	2	2.7
Serge Payer	Right Wing	2	2.9
Dmitri Tertyshny	Defender	2	2.9
Howard Walker	Defender	2	2.9
Marc-Andre Cliche	Center	2	2.9
Markus Nutivaara	Defender	2	3
Michal Kempny	Defender	2	3
Byron Froese	Center	2	3.1
Andy Schliebener	Defender	2	3.2
Jim Leavins	Defender	2	3.2
Jeff Hoggan	Left Wing	2	3.3
Larry Hornung	Defender	2	3.3
Zach Trotman	Defender	2	3.3
Ryan Hollweg	Left Wing	2	3.4
Dmitri Bykov	Defender	2	3.4
Ron Sutter	Right Wing	2	3.5
Barry Salovaara	Defender	2	3.5
Anthony Stewart	Right Wing	2	3.6
Dan Focht	Defender	2	3.6
Derrick Pouliot	Defender	2	3.6
Mike Busniuk	Defender	2	3.6
Victor Oreskovich	Defender	2	3.6
Brandon Tanev	Left Wing	2	3.7
Matt Walker	Defender	2	3.7
Yohann Auvitu	Defender	2	3.7
Alex Petrovic	Defender	2	3.8
Christian Laflamme	Defender	2	3.8
Jeff Chychrun	Defender	2	3.8
Joe Lundrigan	Defender	2	3.8
Peter Wallin	Left Wing	2	4
Brandon Montour	Defender	2	4
Blake Sloan	Left Wing	2	4.1
John Hughes	Defender	2	4.1
Bobby Sanguinetti	Defender	2	4.2
Gustav Forsling	Defender	2	4.2
Joe Noris	Center	2	4.2
Ladislav Benysek	Defender	2	4.2
Larry Jeffrey	Left Wing	2	4.2
Reed Low	Right Wing	2	4.2
Vitezslav Duris	Defender	2	4.2
Jean-Francois Jomphe	Right Wing	2	4.3
Brayden McNabb	Defender	2	4.3
Don Howse	Left Wing	2	4.3
Doug Harvey*	Defender	2	4.3
Milos Holan	Defender	2	4.3
Ross Cory	Defender	2	4.3
Steven Santini	Defender	2	4.3
Alain Cote	Defender	2	4.4
Jeremy Morin	Right Wing	2	4.4
Chad Ruhwedel	Defender	2	4.4
Chris Snell	Defender	2	4.4
Christian Hanson	Right Wing	2	4.4
Eric Gryba	Defender	2	4.4
Jonathon Merrill	Defender	2	4.4
Roger Picard	Right Wing	2	4.4
Ron Ward	Center	2	4.4
Derek Smith	Defender	2	4.5
Derek Meech	Defender	2	4.5
Josef Boumedienne	Right Wing	2	4.5
Justin Braun	Defender	2	4.5
Martin Cibak	Center	2	4.5
Michal Jordan	Defender	2	4.5
Brent Sutter	Right Wing	2	4.7
Francois Leroux	Defender	2	4.7
Frantisek Kucera	Defender	2	4.7
Nathan LaFayette	Right Wing	2	4.8
Barrie Moore	Left Wing	2	4.8
Brett Carson	Defender	2	4.8
Dylan DeMelo	Defender	2	4.8
Jakub Nakladal	Defender	2	4.8
John Baby	Defender	2	4.8
Jordan Hendry	Defender	2	4.8
Paul Terbenche	Defender	2	4.8
Brandon Convery	Right Wing	2	4.9
Shaun Van Allen	Left Wing	2	4.9
Tyler Bouck	Left Wing	2	4.9
Brad Ference	Defender	2	4.9
Chris O'Sullivan	Defender	2	4.9
John McCarthy	Left Wing	2	4.9
Magnus Svensson	Defender	2	4.9
Mika Pyorala	Center	2	4.9
Rod Pelley	Center	2	4.9
Adam Pardy	Defender	2	5
Kevan Guy	Defender	2	5
Martin Prochazka	Left Wing	2	5
Peter Popovic	Defender	2	5
Rick Berry	Defender	2	5
Robert Burakovsky	Right Wing	2	5
Viktor Svedberg	Defender	2	5
Vladimir Zharkov	Right Wing	2	5
Brandon Gormley	Defender	2	5.1
Christian Folin	Defender	2	5.1
Graeme Nicolson	Defender	2	5.1
Jeremy Reich	Left Wing	2	5.1
Ryan Russell	Center	2	5.1
Quintin Laing	Left Wing	2	5.3
Alex Henry	Left Wing	2	5.4
Ben Chiarot	Defender	2	5.4
Matt Tennyson	Defender	2	5.4
Max McCormick	Left Wing	2	5.4
Mathias Tjarnqvist	Center	2	5.6
Duane Rupp	Defender	2	5.6
Justin Bailey	Right Wing	2	5.6
Rob Conn	Right Wing	2	5.6
Ron Harris	Defender	2	5.6
Carl Brewer	Defender	2	5.7
David Harlock	Defender	2	5.7
Joonas Kemppainen	Center	2	5.7
Bob Errey	Right Wing	2	5.9
Tomas Plihal	Center	2	5.9
Andy Wozniewski	Defender	2	5.9
Bob Paradise	Defender	2	5.9
Dennis Seidenberg	Defender	2	5.9
Gabriel Dumont	Center	2	5.9
Mike Hudson	Left Wing	2	6.1
Randy Cunneyworth	Center	2	6.1
Keaton Ellerby	Defender	2	6.1
Simon Despres	Defender	2	6.1
Adrian Kempe	Left Wing	2	6.3
Fred Williams	Center	2	6.3
Keith Aulie	Defender	2	6.3
Kerby Rychel	Left Wing	2	6.3
Ossi Vaananen	Defender	2	6.3
Petteri Lindbohm	Defender	2	6.3
Randy Holt	Defender	2	6.3
Ryan Hollweg	Center	2	6.3
Brad Selwood	Defender	2	6.5
Burke Henry	Defender	2	6.5
Craig Cunningham	Right Wing	2	6.5
J.T. Wyman	Right Wing	2	6.5
Jerome Samson	Right Wing	2	6.5
John Grisdale	Defender	2	6.5
Petteri Nummelin	Defender	2	6.5
Radko Gudas	Defender	2	6.5
Rob Zettler	Defender	2	6.5
Steve Webb	Right Wing	2	6.5
Ryan White	Right Wing	2	6.7
Jonas Bergqvist	Right Wing	2	6.7
Philip Larsen	Defender	2	6.7
Bob Wall	Defender	2	6.9
Aaron Palushaj	Right Wing	2	6.9
Blake Sloan	Right Wing	2	6.9
Dan Mandich	Defender	2	6.9
Derek Mayer	Defender	2	6.9
Luca Sbisa	Defender	2	6.9
Mats Thelin	Defender	2	6.9
Garth Murray	Left Wing	2	7.1
Chris Nielsen	Right Wing	2	7.1
Jean-Guy Lagace	Defender	2	7.1
Jerome Dupont	Defender	2	7.1
Larry Carriere	Defender	2	7.1
Lukas Krajicek	Defender	2	7.1
Nick Paul	Left Wing	2	7.1
Tom Tilley	Defender	2	7.1
Robert Dome	Center	2	7.4
Colin White	Defender	2	7.4
Jay Harrison	Defender	2	7.4
Steven Oleksy	Defender	2	7.4
Xavier Ouellet	Defender	2	7.4
Ken Berry	Right Wing	2	7.7
Brett Bellemore	Defender	2	7.7
Chris Tamer	Defender	2	7.7
Fred Boimistruck	Defender	2	7.7
Glenn Patrick	Defender	2	7.7
Joe Reekie	Defender	2	7.7
Joe Vitale	Center	2	7.7
Jyrki Jokipakka	Defender	2	7.7
Luc Bourdon	Defender	2	7.7
Luke Gazdic	Left Wing	2	7.7
Mark Fistric	Defender	2	7.7
Michael Sgarbossa	Center	2	7.7
Neil Komadoski	Defender	2	7.7
Ryan Stoa	Center	2	7.7
Shawn Anderson	Defender	2	7.7
Todd Reirden	Defender	2	7.7
Tom Koivisto	Defender	2	7.7
Gord Donnelly	Defender	2	8
Sergei Zholtok	Left Wing	2	8
Jim Campbell	Center	2	8
Miroslav Ihnacak	Left Wing	2	8
Chris Wells	Center	2	8
Barry Melrose	Defender	2	8
Brendan Witt	Defender	2	8
James Wright	Center	2	8
Jeff Woywitka	Defender	2	8
Nic Petan	Left Wing	2	8
Randy Moller	Defender	2	8
Brian Sutherby	Left Wing	2	8.3
Anthony Peluso	Right Wing	2	8.3
Christer Olsson	Defender	2	8.3
David Shaw	Defender	2	8.3
Jim McTaggart	Defender	2	8.3
Kyle Connor	Left Wing	2	8.3
Mark Popovic	Defender	2	8.3
Noel Acciari	Center	2	8.3
Raimo Helminen	Center	2	8.3
Ray Maluta	Defender	2	8.3
Tom Mellor	Defender	2	8.3
Tomas Zizka	Defender	2	8.3
Phil Bourque	Defender	2	8.7
Patrik Elias	Right Wing	2	8.7
Alexander Korolyuk	Center	2	8.7
Zachary Sanford	Center	2	8.7
Al McLeod	Defender	2	8.7
Daniel Sprong	Right Wing	2	8.7
Rick Jodzio	Left Wing	2	8.7
Sergey Gusev	Defender	2	8.7
Shawn Chambers	Defender	2	8.7
Yan Kaminsky	Right Wing	2	8.7
Christian Berglund	Left Wing	2	9.1
Glen Metropolit	Right Wing	2	9.1
Joakim Lindstrom	Left Wing	2	9.1
Alexei Zhitnik	Defender	2	9.1
Brian Lee	Defender	2	9.1
Cam Russell	Defender	2	9.1
Chris Jensen	Right Wing	2	9.1
Gilbert Delorme	Defender	2	9.1
Jim Shires	Left Wing	2	9.1
Lawrence Nycholat	Defender	2	9.1
Bates Battaglia	Center	2	9.5
Yuri Butsayev	Left Wing	2	9.5
Alexandre Bolduc	Center	2	9.5
Christian Backman	Defender	2	9.5
Jared Aulin	Center	2	9.5
Kirill Safronov	Defender	2	9.5
Kyle Rau	Center	2	9.5
Mark Astley	Defender	2	9.5
Matt Keith	Right Wing	2	9.5
Ole-Kristian Tollefsen	Defender	2	9.5
Paul Boutilier	Defender	2	9.5
Rick Chartraw	Defender	2	9.5
Reggie Savage	Center	2	10
Bryan Marchment	Defender	2	10
Chris Tanev	Defender	2	10
David Dziurzynski	Center	2	10
Doug Halward	Defender	2	10
Ed Hatoum	Right Wing	2	10
Gary Coalter	Right Wing	2	10
Jack Hughes	Defender	2	10
John Smrke	Left Wing	2	10
Larry Playfair	Defender	2	10
Matt Herr	Center	2	10
Mike Lalor	Defender	2	10
Nate Prosser	Defender	2	10
Phil Hoene	Left Wing	2	10
Ryan Carpenter	Center	2	10
Dave McLlwain	Right Wing	2	10.5
Bert Robertsson	Left Wing	2	10.5
Chris Kreider	Center	2	10.5
Anders Eriksson	Defender	2	10.5
Andrew Alberts	Defender	2	10.5
Andrew Peters	Left Wing	2	10.5
Andy Sutton	Defender	2	10.5
Brian Loney	Right Wing	2	10.5
Brian Marchinko	Center	2	10.5
Clayton Pachal	Left Wing	2	10.5
Colin Fraser	Center	2	10.5
Connor Carrick	Defender	2	10.5
Daniel Tjarnqvist	Defender	2	10.5
Jamie Huscroft	Defender	2	10.5
Jean-Luc Grand-Pierre	Defender	2	10.5
Karl Stewart	Left Wing	2	10.5
Ken Strong	Left Wing	2	10.5
Luke Schenn	Defender	2	10.5
Mark Hardy	Defender	2	10.5
Mike Zigomanis	Center	2	10.5
Neil Wilkinson	Defender	2	10.5
Niclas Wallin	Defender	2	10.5
Peter Olvecky	Left Wing	2	10.5
Reed Larson	Defender	2	10.5
Richie Dunn	Defender	2	10.5
Steve Eminger	Defender	2	10.5
Tony Stiles	Defender	2	10.5
Zbynek Michalek	Defender	2	10.5
Jesse Joensuu	Left Wing	2	11.1
Aaron Volpatti	Left Wing	2	11.1
Dan Kesa	Right Wing	2	11.1
Dave Michayluk	Right Wing	2	11.1
Dave Richter	Defender	2	11.1
Frank Nigro	Right Wing	2	11.1
Jeff Christian	Left Wing	2	11.1
Larry Trader	Defender	2	11.1
Mathieu Roy	Defender	2	11.1
Michael Holmqvist	Right Wing	2	11.1
Mike Danton	Center	2	11.1
Mike Kostka	Defender	2	11.1
Murray Baron	Defender	2	11.1
Pat Micheletti	Center	2	11.1
Patrick Boileau	Defender	2	11.1
Patrick Thoresen	Left Wing	2	11.1
Paul Cavallini	Defender	2	11.1
Randy Heath	Left Wing	2	11.1
Ron Boehm	Left Wing	2	11.1
Sean Hill	Defender	2	11.1
Steven Goertzen	Right Wing	2	11.1
Terry Holbrook	Right Wing	2	11.1
Jim Johnson	Defender	2	11.8
Trevor Smith	Left Wing	2	11.8
Cam Paddock	Center	2	11.8
Chris Summers	Defender	2	11.8
Dave Kelly	Right Wing	2	11.8
Drayson Bowman	Center	2	11.8
Eric Godard	Right Wing	2	11.8
Jack Brownschidle	Defender	2	11.8
Jarkko Varvio	Left Wing	2	11.8
Mattias Norstrom	Defender	2	11.8
Mike Crowley	Defender	2	11.8
Peter Driscoll	Left Wing	2	11.8
Riku Hahl	Center	2	11.8
